rfi_id,package,station,subsystem_type,activity_name,initiator_role,contractor_id,inspector_id,raised_date,sla_deadline,closed_date,result,planned_quantity,verified_quantity,quantity_unit,remarks
RFI-0011,PKG-05-TRACK,STN-01-Janakpuri-West,TRACK,Check rail installation,PLANNING_ENG,CTR-03,INS-03,2026-02-19,2026-02-21,2026-02-20,APPROVED_WITH_COMMENTS,12.53,11.15,cum,"Approved with comments: Overall installation acceptable. Minor paint touch-up required at 7 locations. Snag list attached. Weather: Clear, 28C, good conditions."
RFI-0012,PKG-03-SIGNALLING,STN-08-Kirti-Nagar,SCADA,RTU installation,CONTRACTOR_SE,CTR-06,INS-09,2026-02-20,2026-02-22,2026-02-20,APPROVED_WITH_COMMENTS,328.54,316.55,rmt,Approved with comments: Overall installation acceptable. Minor paint touch-up required at 2 locations. Snag list attached.
RFI-0013,PKG-01-CIVIL,STN-04-Palam,CIVIL,Retaining wall construction,CONTRACTOR_SE,CTR-01,INS-01,2025-07-31,2025-08-02,2025-08-01,APPROVED,303.06,293.58,rmt,"Earthing resistance measured at 1.6 ohm against maximum 1.0 ohm specification. Satisfactory. Approved. Weather: Overcast, light drizzle earlier."
RFI-0014,PKG-04-TELECOM,STN-01-Janakpuri-West,TVS,Tunnel ventilation fan installation,SITE_ENG,CTR-07,INS-11,2026-03-27,2026-03-29,2026-04-06,REJECTED,388.73,0,nos,"REJECTED: Pre-stressing elongation 2.9% deviation from theoretical exceeds 5% limit. Jack calibration certificate expired. Redo with calibrated jack. Weather: Dust storm warning, work paused 2hrs."
RFI-0015,PKG-04-TELECOM,STN-08-Kirti-Nagar,TVS,Smoke extraction duct,CONTRACTOR_SE,CTR-05,INS-11,2025-11-13,2025-11-15,2025-11-13,APPROVED,386.87,363.83,sqm,Pre-stressing operation completed. Jack pressure verified at 272 bar. Elongation within +/-4.1% of theoretical. Grouting may proceed.
RFI-0016,PKG-01-CIVIL,STN-04-Palam,CIVIL,Expansion joint installation,SITE_ENG,CTR-03,INS-03,2026-01-17,2026-01-19,2026-01-25,REJECTED,214.35,0,nos,"REJECTED: Reinforcement spacing irregular. Measured 190mm against designed 200mm at beam B13. Non-conformance noted. Weather: Foggy morning, visibility under 200m until 10am."
RFI-0017,PKG-01-CIVIL,STN-06-Rajouri-Garden,CIVIL,Station roof slab casting,CONTRACTOR_SE,CTR-02,INS-04,2025-08-19,2025-08-21,2025-08-21,APPROVED,178.04,175.95,rmt,"Reinforcement placement verified against bar bending schedule. Lap length and spacing as per IS 456. No deviation observed. Fit for concreting. Weather: Dust storm warning, work paused 2hrs."
RFI-0018,PKG-03-SIGNALLING,STN-01-Janakpuri-West,SCADA,Communication link testing,PLANNING_ENG,CTR-06,INS-09,2026-03-25,2026-03-27,2026-03-26,APPROVED,453.26,426.9,nos,"Installation completed as per approved methodology. Torque values checked and within specification. Witness photographs attached. Weather: Monsoon conditions, intermittent rain."
RFI-0019,PKG-02-ELECTRICAL,STN-02-Dabri-Mor,ELEC,LT panel installation,PLANNING_ENG,CTR-04,INS-05,2025-07-26,2025-07-28,2025-07-28,APPROVED,376.26,366.92,cum,Pre-stressing operation completed. Jack pressure verified at 206 bar. Elongation within +/-4.5% of theoretical. Grouting may proceed.
RFI-0020,PKG-05-TRACK,STN-01-Janakpuri-West,TRACK,Sleeper laying,PLANNING_ENG,CTR-08,INS-01,2025-11-11,2025-11-13,2025-11-19,REJECTED,390.07,0,rmt,"REJECTED: Torque values below specification on 3 of 40 bolts checked. Contractor to re-torque all connections. Weather: Dust storm warning, work paused 2hrs."
RFI-0021,PKG-01-CIVIL,STN-05-Sadar-Bazar,CIVIL,Pier cap pre-stressing,SITE_ENG,CTR-02,INS-03,2025-07-18,2025-07-20,2025-07-21,APPROVED_WITH_COMMENTS,384.44,343.84,sqm,"Approved with comments: Cable routing acceptable but labelling incomplete at 8 junction boxes. Complete labelling before next inspection milestone. Weather: Heavy rain last 24hrs, site partially waterlogged."
RFI-0022,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Expansion joint installation,SITE_ENG,CTR-01,INS-04,2025-06-03,2025-06-05,2025-06-04,APPROVED,130.63,118.75,sqm,Reinforcement placement verified against bar bending schedule. Lap length and spacing as per IS 456. No deviation observed. Fit for concreting.
RFI-0023,PKG-01-CIVIL,STN-06-Rajouri-Garden,CIVIL,Concourse level slab,SITE_ENG,CTR-02,INS-04,2026-02-14,2026-02-16,2026-02-16,APPROVED,225.83,205.06,rmt,"Reinforcement placement verified against bar bending schedule. Lap length and spacing as per IS 456. No deviation observed. Fit for concreting. Weather: Heavy rain last 24hrs, site partially waterlogged."
RFI-0024,PKG-03-SIGNALLING,STN-07-ESI-Hospital,SIG,Point machine installation,SITE_ENG,CTR-07,INS-10,2025-04-28,2025-04-30,2025-04-29,APPROVED,224.17,206.43,kg,"Installation completed as per approved methodology. Torque values checked and within specification. Witness photographs attached. Weather: Monsoon conditions, intermittent rain."
RFI-0025,PKG-01-CIVIL,STN-06-Rajouri-Garden,CIVIL,Pier cap pre-stressing,PLANNING_ENG,CTR-01,INS-01,2025-06-22,2025-06-24,2025-06-29,REJECTED,168.84,0,nos,REJECTED: Welding quality unsatisfactory. UT test shows 2 defects in 12 joints. Grind and re-weld required.
RFI-0026,PKG-02-ELECTRICAL,STN-03-Dashrath-Puri,BMS,Access control integration,PLANNING_ENG,CTR-04,INS-06,2025-11-29,2025-12-01,2025-11-29,APPROVED,215.86,190.51,cum,"Work executed as per approved drawing DRG-992-R1. Concrete cube strength satisfactory at 40 MPa. Cover meter reading within tolerance. Approved for next activity. Weather: Heavy rain last 24hrs, site partially waterlogged."
RFI-0027,PKG-01-CIVIL,STN-07-ESI-Hospital,CIVIL,Pile cap construction,CONTRACTOR_SE,CTR-02,INS-03,2025-06-13,2025-06-15,2025-06-13,APPROVED,106.4,94.66,cum,Waterproofing membrane applied as per specification. Peel adhesion test passed. No air pockets observed. Approved for next stage.
RFI-0028,PKG-03-SIGNALLING,STN-06-Rajouri-Garden,SIG,Axle counter installation,CONTRACTOR_SE,CTR-06,INS-10,2025-08-29,2025-08-31,2025-08-31,APPROVED,31.07,28.95,sqm,"Waterproofing membrane applied as per specification. Peel adhesion test passed. No air pockets observed. Approved for next stage. Weather: Dust storm warning, work paused 2hrs."
RFI-0029,PKG-01-CIVIL,STN-07-ESI-Hospital,CIVIL,Retaining wall construction,PLANNING_ENG,CTR-03,INS-04,2025-05-23,2025-05-25,2025-05-23,APPROVED,324.67,298.22,nos,"Inspection carried out. Alignment checked with total station, deviation within +/-1mm. Material test certificates verified. Clearance granted."
RFI-0030,PKG-03-SIGNALLING,STN-03-Dashrath-Puri,SCADA,RTU installation,CONTRACTOR_SE,CTR-06,INS-09,2025-11-02,2025-11-04,2025-11-15,REJECTED,65.69,0,kg,REJECTED: Surface finish of platform edge not as per specification. Undulations of 5mm against maximum 3mm allowable. Rework required.
RFI-0031,PKG-02-ELECTRICAL,STN-01-Janakpuri-West,ELEC,Transformer erection,PLANNING_ENG,CTR-04,INS-06,2026-02-17,2026-02-19,2026-02-19,APPROVED_WITH_COMMENTS,170.67,170.51,MT,"Approved with comments: Alignment acceptable but contractor advised to improve survey control. 8mm deviation close to limit. Weather: Dust storm warning, work paused 2hrs."
RFI-0032,PKG-01-CIVIL,STN-08-Kirti-Nagar,CIVIL,Staircase structural work,CONTRACTOR_SE,CTR-02,INS-04,2025-12-21,2025-12-23,,REJECTED,187.27,0,cum,"REJECTED: Earthing resistance measured at 1.9 ohm, exceeds maximum 1.0 ohm. Additional earth pits required. Weather: Clear, 35C."
RFI-0033,PKG-02-ELECTRICAL,STN-08-Kirti-Nagar,ELEC,Bus duct installation,CONTRACTOR_SE,CTR-05,INS-06,2026-03-04,2026-03-06,2026-03-04,APPROVED,287.2,272.21,kg,"Reinforcement placement verified against bar bending schedule. Lap length and spacing as per IS 456. No deviation observed. Fit for concreting. Weather: Clear, 35C."
RFI-0034,PKG-01-CIVIL,STN-08-Kirti-Nagar,CIVIL,Station roof slab casting,SITE_ENG,CTR-02,INS-02,2025-06-06,2025-06-08,2025-06-06,APPROVED,161.78,155.27,kg,Fire alarm loop testing completed successfully. All 12 devices responding. Zone mapping verified against approved layout.
RFI-0035,PKG-01-CIVIL,STN-05-Sadar-Bazar,CIVIL,Pier cap pre-stressing,CONTRACTOR_SE,CTR-02,INS-01,2025-09-05,2025-09-07,2025-09-07,APPROVED,376.45,339.11,kg,Work executed as per approved drawing DRG-148-R2. Concrete cube strength satisfactory at 35 MPa. Cover meter reading within tolerance. Approved for next activity.
RFI-0036,PKG-01-CIVIL,STN-07-ESI-Hospital,CIVIL,Retaining wall construction,CONTRACTOR_SE,CTR-02,INS-01,2026-02-25,2026-02-27,2026-02-25,APPROVED,217.47,200.84,sqm,Welding inspection carried out. UT test results satisfactory as per IS 822. No defects observed in 9 joints tested. Approved.
RFI-0037,PKG-04-TELECOM,STN-05-Sadar-Bazar,TEL,PA system speaker installation,CONTRACTOR_SE,CTR-07,INS-11,2025-04-17,2025-04-19,2025-04-18,APPROVED_WITH_COMMENTS,288.65,257.86,nos,Approved with comments: Track fastening acceptable but 2 clips show minor corrosion. Replace during next maintenance window.
RFI-0038,PKG-03-SIGNALLING,STN-07-ESI-Hospital,SIG,Point machine installation,SITE_ENG,CTR-06,INS-10,2026-01-15,2026-01-17,2026-01-17,APPROVED,105.17,95.77,rmt,"Track alignment survey completed. Versine readings within 4mm tolerance. Rail level difference within +/-2mm. Approved for traffic. Weather: Clear, 35C."
RFI-0039,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Platform edge finishing,PLANNING_ENG,CTR-03,INS-03,2026-03-24,2026-03-26,2026-03-25,APPROVED,20.06,19.32,kg,"Inspection carried out. Alignment checked with total station, deviation within +/-5mm. Material test certificates verified. Clearance granted."
RFI-0040,PKG-01-CIVIL,STN-05-Sadar-Bazar,CIVIL,Station roof slab casting,CONTRACTOR_SE,CTR-02,INS-04,2026-02-05,2026-02-07,2026-02-07,APPROVED,98.38,92.56,kg,"Completed. Visual inspection satisfactory. Dimensional check within tolerance. Quality records maintained properly. Weather: Clear, 35C."
RFI-0041,PKG-01-CIVIL,STN-03-Dashrath-Puri,CIVIL,Expansion joint installation,SITE_ENG,CTR-03,INS-03,2025-11-06,2025-11-08,2025-11-07,APPROVED_WITH_COMMENTS,12.37,11.21,nos,"Approved with comments: Test results within limits but close to threshold. Monitoring recommended during next cycle. Weather: Clear, 35C."
RFI-0042,PKG-04-TELECOM,STN-06-Rajouri-Garden,TEL,Network switch installation,PLANNING_ENG,CTR-05,INS-12,2026-03-18,2026-03-20,2026-03-18,APPROVED_WITH_COMMENTS,461.38,445.35,kg,"Approved with comments: Alignment acceptable but contractor advised to improve survey control. 9mm deviation close to limit. Weather: Clear, 35C."
RFI-0043,PKG-01-CIVIL,STN-07-ESI-Hospital,CIVIL,Station entrance canopy,PLANNING_ENG,CTR-03,INS-01,2025-05-01,2025-05-03,2025-05-02,APPROVED,428.74,378.26,nos,Waterproofing membrane applied as per specification. Peel adhesion test passed. No air pockets observed. Approved for next stage.
RFI-0044,PKG-01-CIVIL,STN-06-Rajouri-Garden,CIVIL,Pier cap pre-stressing,PLANNING_ENG,CTR-02,INS-01,2026-02-02,2026-02-04,2026-02-16,REJECTED,422.55,0,nos,REJECTED: Welding quality unsatisfactory. UT test shows 5 defects in 29 joints. Grind and re-weld required.
RFI-0045,PKG-04-TELECOM,STN-07-ESI-Hospital,TEL,Network switch installation,CONTRACTOR_SE,CTR-07,INS-12,2026-02-02,2026-02-04,2026-02-04,APPROVED,35.09,31.78,kg,"Completed. Visual inspection satisfactory. Dimensional check within tolerance. Quality records maintained properly. Weather: Clear, 28C, good conditions."
RFI-0046,PKG-02-ELECTRICAL,STN-05-Sadar-Bazar,ELEC,DG set commissioning,CONTRACTOR_SE,CTR-05,INS-06,2026-02-24,2026-02-26,2026-02-24,APPROVED,460.04,428.41,kg,"Waterproofing membrane applied as per specification. Peel adhesion test passed. No air pockets observed. Approved for next stage. Weather: Foggy morning, visibility under 200m until 10am."
RFI-0047,PKG-03-SIGNALLING,STN-05-Sadar-Bazar,SIG,Point machine installation,CONTRACTOR_SE,CTR-07,INS-09,2026-01-28,2026-01-30,2026-01-28,APPROVED,84.06,82.12,MT,"Cable laying completed as per routing diagram. Insulation resistance test passed (225 Megaohm). Bend radius maintained. Approved. Weather: Dust storm warning, work paused 2hrs."
RFI-0048,PKG-05-TRACK,STN-01-Janakpuri-West,TRACK,Track bed preparation,PLANNING_ENG,CTR-08,INS-02,2026-03-18,2026-03-20,,REJECTED,288.3,0,cum,"REJECTED: Earthing resistance measured at 1.4 ohm, exceeds maximum 1.0 ohm. Additional earth pits required."
RFI-0049,PKG-03-SIGNALLING,STN-03-Dashrath-Puri,SCADA,Communication link testing,PLANNING_ENG,CTR-06,INS-09,2025-07-05,2025-07-07,2025-07-05,APPROVED,422.57,415.75,sqm,"Installation completed as per approved methodology. Torque values checked and within specification. Witness photographs attached. Weather: Dust storm warning, work paused 2hrs."
RFI-0050,PKG-05-TRACK,STN-07-ESI-Hospital,TRACK,Insulated rail joint installation,PLANNING_ENG,CTR-08,INS-01,2026-01-20,2026-01-22,2026-01-22,APPROVED,36.01,35.69,cum,"Installation completed as per approved methodology. Torque values checked and within specification. Witness photographs attached. Weather: Overcast, light drizzle earlier."
RFI-0051,PKG-02-ELECTRICAL,STN-08-Kirti-Nagar,ELEC,HT cable laying,PLANNING_ENG,CTR-05,INS-05,2025-05-26,2025-05-28,2025-05-27,APPROVED,298.52,279.94,kg,Reinforcement placement verified against bar bending schedule. Lap length and spacing as per IS 456. No deviation observed. Fit for concreting.
RFI-0052,PKG-05-TRACK,STN-03-Dashrath-Puri,TRACK,Third rail insulator mounting,CONTRACTOR_SE,CTR-03,INS-02,2025-11-27,2025-11-29,2025-11-27,APPROVED,405.39,366.47,cum,"Work executed as per approved drawing DRG-603-R0. Concrete cube strength satisfactory at 30 MPa. Cover meter reading within tolerance. Approved for next activity. Weather: Clear, 28C, good conditions."
RFI-0053,PKG-01-CIVIL,STN-02-Dabri-Mor,CIVIL,Station entrance canopy,SITE_ENG,CTR-03,INS-01,2025-04-05,2025-04-07,2025-04-06,APPROVED_WITH_COMMENTS,335.04,309.21,kg,"Approved with comments: Test results within limits but close to threshold. Monitoring recommended during next cycle. Weather: Heavy rain last 24hrs, site partially waterlogged."
RFI-0054,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Pier cap pre-stressing,SITE_ENG,CTR-01,INS-04,2025-04-23,2025-04-25,2025-04-23,APPROVED,238.87,231.38,MT,Track alignment survey completed. Versine readings within 3mm tolerance. Rail level difference within +/-1mm. Approved for traffic.
RFI-0055,PKG-05-TRACK,STN-01-Janakpuri-West,TRACK,Third rail insulator mounting,SITE_ENG,CTR-03,INS-02,2026-03-17,2026-03-19,2026-03-17,APPROVED,46.11,43.01,cum,"Pre-stressing operation completed. Jack pressure verified at 200 bar. Elongation within +/-3.3% of theoretical. Grouting may proceed. Weather: Clear, 35C."
RFI-0056,PKG-02-ELECTRICAL,STN-08-Kirti-Nagar,BMS,BMS controller installation,CONTRACTOR_SE,CTR-05,INS-07,2025-12-06,2025-12-08,,REJECTED,150.78,0,rmt,"REJECTED: Pre-stressing elongation 4.2% deviation from theoretical exceeds 5% limit. Jack calibration certificate expired. Redo with calibrated jack. Weather: Foggy morning, visibility under 200m until 10am."
RFI-0057,PKG-03-SIGNALLING,STN-07-ESI-Hospital,SIG,Relay room equipment installation,PLANNING_ENG,CTR-06,INS-09,2025-05-01,2025-05-03,2025-05-02,APPROVED,108.34,98.87,MT,"Work executed as per approved drawing DRG-168-R3. Concrete cube strength satisfactory at 32 MPa. Cover meter reading within tolerance. Approved for next activity. Weather: Clear, 28C, good conditions."
RFI-0058,PKG-01-CIVIL,STN-02-Dabri-Mor,CIVIL,Platform edge finishing,SITE_ENG,CTR-01,INS-01,2026-01-15,2026-01-17,2026-01-16,APPROVED,131.06,128.54,sqm,Completed. Visual inspection satisfactory. Dimensional check within tolerance. Quality records maintained properly.
RFI-0059,PKG-04-TELECOM,STN-03-Dashrath-Puri,TEL,PA system speaker installation,CONTRACTOR_SE,CTR-07,INS-11,2025-05-13,2025-05-15,2025-05-13,APPROVED,219.77,196.99,cum,Work executed as per approved drawing DRG-259-R2. Concrete cube strength satisfactory at 32 MPa. Cover meter reading within tolerance. Approved for next activity.
RFI-0060,PKG-02-ELECTRICAL,STN-06-Rajouri-Garden,ELEC,LT panel installation,SITE_ENG,CTR-05,INS-05,2025-10-16,2025-10-18,2025-10-17,APPROVED,373.98,338.08,MT,"Pre-stressing operation completed. Jack pressure verified at 221 bar. Elongation within +/-4.2% of theoretical. Grouting may proceed. Weather: Monsoon conditions, intermittent rain."
RFI-0061,PKG-03-SIGNALLING,STN-03-Dashrath-Puri,SIG,LED signal head mounting,SITE_ENG,CTR-06,INS-10,2025-11-22,2025-11-24,2025-11-24,APPROVED,439.83,403.3,MT,Cable laying completed as per routing diagram. Insulation resistance test passed (244 Megaohm). Bend radius maintained. Approved.
RFI-0062,PKG-02-ELECTRICAL,STN-05-Sadar-Bazar,ELEC,Emergency lighting circuit,PLANNING_ENG,CTR-05,INS-06,2026-02-07,2026-02-09,2026-02-19,REJECTED,418.8,0,kg,REJECTED: Concrete cover insufficient at 5 locations. Cover meter shows 16mm against required 45mm. Rectification required before re-inspection.
RFI-0063,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Pier cap pre-stressing,PLANNING_ENG,CTR-03,INS-02,2026-01-26,2026-01-28,2026-01-27,APPROVED_WITH_COMMENTS,437.34,395.13,sqm,Approved with comments: Pre-stressing within limits but elongation at 4.4% of theoretical is close to 5% tolerance. Extra monitoring on next span.
RFI-0064,PKG-01-CIVIL,STN-03-Dashrath-Puri,CIVIL,Waterproofing membrane application,PLANNING_ENG,CTR-01,INS-03,2025-12-08,2025-12-10,2025-12-08,APPROVED,107.75,96.3,cum,Work executed as per approved drawing DRG-678-R3. Concrete cube strength satisfactory at 30 MPa. Cover meter reading within tolerance. Approved for next activity.
RFI-0065,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Concourse level slab,SITE_ENG,CTR-01,INS-04,2025-06-18,2025-06-20,2025-06-20,APPROVED,186.81,171.0,MT,Fire alarm loop testing completed successfully. All 72 devices responding. Zone mapping verified against approved layout.
RFI-0066,PKG-01-CIVIL,STN-06-Rajouri-Garden,CIVIL,Pier cap pre-stressing,CONTRACTOR_SE,CTR-03,INS-02,2026-02-06,2026-02-08,2026-02-15,REJECTED,152.87,0,nos,REJECTED: Reinforcement spacing irregular. Measured 186mm against designed 175mm at beam B19. Non-conformance noted.
RFI-0067,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Waterproofing membrane application,CONTRACTOR_SE,CTR-03,INS-01,2025-12-10,2025-12-12,2025-12-10,APPROVED,412.76,370.27,cum,Welding inspection carried out. UT test results satisfactory as per IS 822. No defects observed in 15 joints tested. Approved.
RFI-0068,PKG-03-SIGNALLING,STN-01-Janakpuri-West,SCADA,SCADA HMI configuration,CONTRACTOR_SE,CTR-07,INS-09,2025-05-07,2025-05-09,2025-05-07,APPROVED_WITH_COMMENTS,66.05,64.39,sqm,Approved with comments: Alignment acceptable but contractor advised to improve survey control. 5mm deviation close to limit.
RFI-0069,PKG-01-CIVIL,STN-02-Dabri-Mor,CIVIL,U-girder launching,PLANNING_ENG,CTR-01,INS-04,2026-01-17,2026-01-19,2026-01-17,APPROVED,80.18,72.29,nos,Welding inspection carried out. UT test results satisfactory as per IS 822. No defects observed in 5 joints tested. Approved.
RFI-0070,PKG-02-ELECTRICAL,STN-03-Dashrath-Puri,ELEC,Bus duct installation,SITE_ENG,CTR-04,INS-06,2026-03-03,2026-03-05,2026-03-05,APPROVED,79.91,72.88,MT,Welding inspection carried out. UT test results satisfactory as per IS 822. No defects observed in 19 joints tested. Approved.
RFI-0071,PKG-01-CIVIL,STN-04-Palam,CIVIL,Platform edge finishing,SITE_ENG,CTR-03,INS-03,2025-11-27,2025-11-29,,REJECTED,199.4,0,cum,REJECTED: Concrete cover insufficient at 3 locations. Cover meter shows 20mm against required 45mm. Rectification required before re-inspection.
RFI-0072,PKG-02-ELECTRICAL,STN-08-Kirti-Nagar,ELEC,Emergency lighting circuit,SITE_ENG,CTR-05,INS-05,2025-12-29,2025-12-31,2025-12-29,APPROVED,418.0,384.91,MT,"Inspection carried out. Alignment checked with total station, deviation within +/-5mm. Material test certificates verified. Clearance granted."
RFI-0073,PKG-02-ELECTRICAL,STN-06-Rajouri-Garden,ELEC,HT cable laying,PLANNING_ENG,CTR-05,INS-08,2025-12-04,2025-12-06,2025-12-06,APPROVED,170.8,160.53,nos,"Work executed as per approved drawing DRG-705-R2. Concrete cube strength satisfactory at 32 MPa. Cover meter reading within tolerance. Approved for next activity. Weather: Foggy morning, visibility under 200m until 10am."
RFI-0074,PKG-03-SIGNALLING,STN-05-Sadar-Bazar,SIG,LED signal head mounting,CONTRACTOR_SE,CTR-06,INS-09,2025-05-23,2025-05-25,2025-05-23,APPROVED,372.93,354.6,cum,"Inspection carried out. Alignment checked with total station, deviation within +/-10mm. Material test certificates verified. Clearance granted. Weather: Foggy morning, visibility under 200m until 10am."
RFI-0075,PKG-02-ELECTRICAL,STN-06-Rajouri-Garden,BMS,Fire alarm panel integration,SITE_ENG,CTR-05,INS-08,2026-03-28,2026-03-30,,REJECTED,383.9,0,sqm,"REJECTED: Torque values below specification on 4 of 36 bolts checked. Contractor to re-torque all connections. Weather: Overcast, light drizzle earlier."
RFI-0076,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Pile foundation casting,PLANNING_ENG,CTR-01,INS-01,2025-09-02,2025-09-04,2025-09-02,APPROVED,287.68,266.33,kg,"Cable laying completed as per routing diagram. Insulation resistance test passed (427 Megaohm). Bend radius maintained. Approved. Weather: Monsoon conditions, intermittent rain."
RFI-0077,PKG-04-TELECOM,STN-06-Rajouri-Garden,TVS,Tunnel ventilation fan installation,PLANNING_ENG,CTR-05,INS-11,2025-06-14,2025-06-16,2025-06-14,APPROVED,463.67,411.6,rmt,"Inspection carried out. Alignment checked with total station, deviation within +/-7mm. Material test certificates verified. Clearance granted."
RFI-0078,PKG-05-TRACK,STN-02-Dabri-Mor,TRACK,Sleeper laying,SITE_ENG,CTR-03,INS-03,2025-11-29,2025-12-01,2025-11-30,APPROVED,333.28,299.89,kg,"Installation completed as per approved methodology. Torque values checked and within specification. Witness photographs attached. Weather: Clear, 35C."
RFI-0079,PKG-01-CIVIL,STN-01-Janakpuri-West,CIVIL,Station entrance canopy,SITE_ENG,CTR-03,INS-04,2025-05-14,2025-05-16,2025-05-14,APPROVED,423.08,400.81,kg,"Reinforcement placement verified against bar bending schedule. Lap length and spacing as per IS 456. No deviation observed. Fit for concreting. Weather: Dust storm warning, work paused 2hrs."
RFI-0080,PKG-02-ELECTRICAL,STN-06-Rajouri-Garden,ELEC,Earthing system installation,SITE_ENG,CTR-05,INS-08,2025-12-02,2025-12-04,2025-12-02,APPROVED,259.83,238.14,rmt,Completed. Visual inspection satisfactory. Dimensional check within tolerance. Quality records maintained properly.
RFI-0081,PKG-04-TELECOM,STN-01-Janakpuri-West,TEL,CCTV camera mounting,CONTRACTOR_SE,CTR-07,INS-11,2026-01-12,2026-01-14,2026-01-13,APPROVED,422.44,395.49,MT,"Earthing resistance measured at 1.9 ohm against maximum 1.0 ohm specification. Satisfactory. Approved. Weather: Clear, 28C, good conditions."
RFI-0082,PKG-03-SIGNALLING,STN-06-Rajouri-Garden,SIG,LED signal head mounting,PLANNING_ENG,CTR-06,INS-09,2025-09-09,2025-09-11,2025-09-12,APPROVED_WITH_COMMENTS,141.19,140.22,MT,Approved with comments: Pre-stressing within limits but elongation at 3.7% of theoretical is close to 5% tolerance. Extra monitoring on next span.
